Year,Job_Type,Tech_Index,AI_Adoption,Automation_Level,Education_Index,Remote_Work_Index,Market_Demand,Job_Trend_Score
2020,Financial Analyst,62.98,63.54,81.38,66.29,48.4,63.96,68.67
2028,Software Developer,60.33,63.49,56.74,60.11,70.86,55,72.8
2030,Accountant,84.37,52.8,73.33,45.52,34.65,63.29,53.32
2025,Project Manager,62.98,94.48,51.81,72.84,38.08,74.08,63.49
2026,Digital Marketer,68.57,40.98,31.27,75.71,33.47,78.06,65.43
2032,Financial Analyst,63.99,40.06,85.61,57.72,37.25,77.94,59.39
2029,Teacher,66.92,84.82,53.06,63.49,60.84,75.09,61.29
2026,Cybersecurity Analyst,62.63,49.44,26.81,62.63,37.06,67.98,63.16
2029,Financial Analyst,74.63,45.83,45.66,68.51,83.6,74.86,73.8
2022,Accountant,59.59,94.54,46.45,81.9,56.9,69.49,65.56
2021,Accountant,56.48,74.79,64.23,76.6,66.27,71.36,56.38
2028,Project Manager,64.42,51.08,100,61.23,57.35,58.73,70.22
2027,Digital Marketer,62.02,63.26,65.45,70.42,68.21,70.53,66.93
2032,Software Developer,56.62,89.19,59.14,77.54,36.98,74.54,77.15
2031,Project Manager,66.77,70.37,100,69.08,71.7,74.09,86.68
2029,Project Manager,53.4,79.29,74.58,64.95,52.11,54.55,58.08
2026,Cybersecurity Analyst,87.28,72.07,60.08,69.46,68.14,71.16,80.59
2028,Content Creator,55.07,73.95,45.41,57.97,28.41,52.67,58.09
2023,Digital Marketer,63.54,60.6,61.32,59.43,52.71,72.08,59.8
2032,AI Engineer,65.96,60.17,53.67,54.36,52.18,61.58,71.65
2023,Project Manager,86.85,64.01,56.83,68.07,40.71,90.47,65.81
2020,Civil Engineer,52.7,71.02,81.29,63.69,54.7,71.43,54.28
2027,Content Creator,71.42,55.75,44.19,56.77,73.09,79.61,69.69
2033,AI Engineer,80.37,61.83,65.27,63.36,39.56,95.33,84.33
2033,Civil Engineer,66.9,55.34,73.98,69.7,64.43,60.19,59.88
2031,Digital Marketer,58.3,61.74,41.76,84.15,33.09,75.23,56.97
2022,Data Scientist,68.92,41.24,38.55,75.12,81.64,55.77,63.94
2026,Civil Engineer,85.27,99.09,51.99,42.16,61.77,74.14,72.74
2034,Teacher,63.84,49.01,45.77,67.39,75.88,91.19,55.2
2031,Content Creator,84.36,54.58,78.05,79.29,60.08,62.47,75.86
2021,Civil Engineer,72.59,47.71,34.96,51.62,55.86,59.37,49.93
2021,Doctor,82.33,69.24,56.37,70.52,61.89,68.91,64.19
2026,Data Scientist,72.19,57.06,100,62.63,47.95,94.55,88.96
2034,Accountant,65.16,45.54,63.26,76.5,25.73,79.25,49.59
2025,Accountant,86.39,69.85,66.59,69.04,56.71,59.14,62.04
2022,Teacher,72.25,71.87,78.21,56.16,38.67,87.46,56.42
2028,Civil Engineer,71.66,59,45.74,62.99,33.48,50.14,49.42
2029,Civil Engineer,78.08,50.05,33.37,63.58,59.54,95.64,48.52
2034,Cybersecurity Analyst,79.24,92.87,58.53,63.77,45.81,80.28,83.98
2033,Civil Engineer,78.13,65.1,60.31,76.19,65.42,91.16,65.5
2032,Financial Analyst,56.49,40.89,22.64,56.57,38.17,50.23,43.29
2025,Software Developer,63.63,81.21,62.5,75.03,42.94,72.03,80.81
2029,Doctor,63.43,47.16,76.4,61.98,67.25,68.39,64.95
2029,Cybersecurity Analyst,62.21,100,36.74,67.24,54.2,57.92,78.09
2025,Digital Marketer,61.28,61.19,63.71,65.72,27.84,54.45,51.01
2020,Cybersecurity Analyst,63.29,75.2,72.85,64.78,53.87,76.08,88.04
2023,Financial Analyst,73.36,30,66.73,64.86,72.22,77.17,68.73
2029,Digital Marketer,74.94,40.74,68.62,79.57,42.82,85.6,77.92
2025,Doctor,69.98,80.01,50.1,73.42,58.97,63.96,68.08
2034,Financial Analyst,65.74,64.77,32.45,61.37,37.26,68.3,66.92
2025,AI Engineer,82.75,90.64,46.06,80.83,47.95,53.41,83.17
2030,Software Developer,69.08,67.28,43.28,67.75,66.35,88.49,72.66
2031,Doctor,79.37,62.18,53.39,68.58,53.29,70.83,62.09
2024,Civil Engineer,64.31,85.7,76.87,56.63,69.34,78.67,63.69
2020,AI Engineer,74.14,75.15,28.76,60.03,56.38,79.09,73.84
2027,Teacher,83.42,57.06,57.89,58.11,83.28,87.51,49.98
2024,Doctor,50,43.59,33.73,65.86,26.53,60.02,40.89
2031,Teacher,63.45,30,40.2,71.39,46.74,78.37,52.43
2031,Digital Marketer,75.94,53.44,66.17,68.67,33.73,69.7,68.21
2031,AI Engineer,82.13,42.2,31.2,80.88,34.76,95.27,76.33
2024,Software Developer,72.03,98.97,69.68,56.12,34.89,59.99,80.27
2026,Civil Engineer,70.5,50.24,27.96,66.15,52.52,84.06,55.17
2023,Civil Engineer,86.11,49.83,68.34,52.17,53.39,74.2,55.14
2025,Financial Analyst,82.74,37.18,24.01,55.78,56.41,73.57,62.28
2032,Civil Engineer,61.31,56.01,42.64,77.65,33.15,70.65,52.52
2023,Project Manager,71.16,50.03,92.93,60.37,45.14,86.16,70.66
2033,Cybersecurity Analyst,73.6,86.07,89.17,56.97,35.54,73.17,70.64
2034,Data Scientist,87.19,62.53,46.75,43.7,64.04,51.71,71.05
2022,Software Developer,78.66,59.87,62.8,56.87,36.95,84.63,74.72
2026,AI Engineer,68.96,57.98,79.08,62.95,46.79,82.43,79.94
2027,Project Manager,72.2,71.79,68.63,51.43,58.4,77.05,79.93
2023,Software Developer,51.16,53.22,49.53,62.37,40.77,56.46,72.43
2032,AI Engineer,79.69,70.01,40.03,77.71,60.41,58.32,82.27
2021,Content Creator,76.46,84.21,72.36,57.93,73.94,47.47,75.29
2031,Content Creator,82.12,66.9,77.61,55.57,52.85,75.52,73.65
2029,Teacher,68.56,56.25,89.31,53.76,63.52,53.81,64.87
2033,Software Developer,71.28,45.7,21.26,53.58,20,49.37,58.6
2022,Content Creator,65.19,55.87,29.94,70.36,43.56,85.3,68.57
2020,AI Engineer,58.52,68.45,78.24,65.49,52.77,79.22,88.85
2027,Teacher,63.98,37.01,23.97,74.57,34.21,66,54.28
2034,Civil Engineer,51.81,72.47,79.77,85.2,53.11,68.39,71
2022,AI Engineer,79.15,63.11,50.7,46.7,65.9,41.11,73.99
2031,Teacher,50,57.76,44.58,68.8,21.81,81,54.15
2029,Software Developer,90.32,50.11,59.11,53.81,32.16,61.69,79.61
2026,Project Manager,52.36,52.85,28.09,72.89,52.77,73.96,56.09
2029,Financial Analyst,85,68.96,71.48,62.28,56.91,40.14,72.16
2024,Civil Engineer,60.92,58.08,88.79,65.27,61.07,81.73,58.66
2029,Doctor,75.61,52.48,72.41,52.17,51.66,60.97,53.16
2024,Project Manager,62.48,67.03,50.07,60.74,56.92,53.49,57.96
2033,Digital Marketer,86.74,67.62,24.24,65.9,63.55,65.92,69.22
2026,AI Engineer,70.44,41.26,25.01,78.56,43.78,62.84,57.23
2034,Digital Marketer,80.74,68.57,28.41,57.05,40.87,82.89,60.88
2028,Project Manager,70.76,97.53,54.75,59.49,47.47,64.96,78.45
2031,Teacher,73.53,67.04,57.27,74.44,52.99,86.35,63.29
2024,Doctor,76.16,34.51,72.37,56.41,40.13,73.96,55.46
2020,Civil Engineer,64.71,62.66,20,76.42,44.09,80.73,57.58
2029,Civil Engineer,57.2,32.54,81.22,64.91,55.97,69.97,56.83
2029,Civil Engineer,56.98,100,68.89,68.03,52.37,85.26,75.32
2020,Doctor,70.51,93.54,48.46,68.68,47.22,56.16,63.93
2034,Data Scientist,65.11,50.01,31.2,58.84,23.88,71.36,67.86
2021,Doctor,50,30,79.98,68.9,49.95,65.24,51.39
2033,Financial Analyst,75.13,46.82,49,57.28,35.45,86.76,62.61
2025,Doctor,57.82,57.29,54.6,59.98,64.75,87.99,61.87
2028,Project Manager,58.4,33.57,62.67,70.59,45.37,70.01,54.79
2027,Data Scientist,69.58,58.96,36.74,67.93,35.06,54.5,76.02
2032,Civil Engineer,61,57.19,49.36,64.25,49.08,75.13,51.31
2024,Project Manager,71.23,61.88,72.31,52.41,69.06,50.02,63.92
2020,Project Manager,89.73,63.44,70.28,54.91,59.46,89.51,79.28
